option_id,security_name,S0,K,T,r,sigma,option_type,n_steps,mc_n_sims,mc_n_steps,random_number_generator,mc_price_with_cv,mc_price_no_cv,mc_price_difference
98,G9Q7C 70 Comdty,73.16999816894531,70.0,2.591780821917808,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,7.878203724639031,9.003848173693452,-1.1256444490544215
99,G9U6C 71.07 Comdty,73.16999816894531,71.07,1.673972602739726,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,6.159056313656313,6.558658828185902,-0.3996025145295894
100,G9U6C 71.85 Comdty,73.16999816894531,71.85,1.673972602739726,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,5.736544627464219,6.125516076699104,-0.38897144923488547
101,G9U6C 72.67 Comdty,73.16999816894531,72.67,1.673972602739726,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,5.306556923512552,5.678609553917737,-0.372052630405185
102,G9U6C 72.75 Comdty,73.16999816894531,72.75,1.673972602739726,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,5.264470661634921,5.752203510511335,-0.4877328488764139
103,G9U6C 75.8 Comdty,73.16999816894531,75.8,1.673972602739726,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.87935749484657,4.2222992892688795,-0.34294179442230943
104,G9U6C 77 Comdty,73.16999816894531,77.0,1.673972602739726,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.4176550714301475,3.7849685574250564,-0.367313485994909
105,G9U7C 70 Comdty,73.16999816894531,70.0,2.673972602739726,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,7.969378673805407,8.937868954054304,-0.968490280248897
106,G9V6C 69.5 Comdty,73.16999816894531,69.5,1.7561643835616438,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,7.178964664220248,7.941879196522276,-0.7629145323020277
107,G9V6C 72.75 Comdty,73.16999816894531,72.75,1.7561643835616438,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,5.390903051737534,5.790405747722971,-0.3995026959854373
108,G9V6C 74.4 Comdty,73.16999816894531,74.4,1.7561643835616438,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,4.611724660242377,5.031321840450459,-0.4195971802080818
109,G9V6C 75.8 Comdty,73.16999816894531,75.8,1.7561643835616438,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,4.011509043181917,4.312842274806548,-0.3013332316246311
110,G9V6C 78.45 Comdty,73.16999816894531,78.45,1.7561643835616438,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.033060059580372,3.4913623757890875,-0.4583023162087154
111,G9V7C 75 Comdty,73.16999816894531,75.0,2.7534246575342465,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,5.684055682167568,6.335124833824796,-0.6510691516572287
112,G9X6C 69 Comdty,73.16999816894531,69.0,1.841095890410959,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,7.592880842125384,8.196333718416094,-0.6034528762907101
113,G9X6C 71.1 Comdty,73.16999816894531,71.1,1.841095890410959,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,6.378269475231175,7.05164499929132,-0.6733755240601456
114,G9X6C 75 Comdty,73.16999816894531,75.0,1.841095890410959,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,4.475480839616219,4.947733458521581,-0.47225261890536174
115,G9X6C 75.8 Comdty,73.16999816894531,75.8,1.841095890410959,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,4.138961979093897,4.423022784671837,-0.28406080557794056
116,G9X6C 79.5 Comdty,73.16999816894531,79.5,1.841095890410959,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.8322308617978296,3.1086566499803774,-0.2764257881825478
117,G9Z6C 70 Comdty,73.16999816894531,70.0,1.926027397260274,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,7.11202940994495,7.654405212598333,-0.5423758026533836
118,G9Z6C 71.1 Comdty,73.16999816894531,71.1,1.926027397260274,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,6.500984354576967,7.2174409364968595,-0.7164565819198927
119,G9Z6C 76.55 Comdty,73.16999816894531,76.55,1.926027397260274,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.973415302107303,4.328400036194885,-0.3549847340875818
120,G9Z6C 79.5 Comdty,73.16999816894531,79.5,1.926027397260274,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.946900045503201,3.2695356663626667,-0.3226356208594656
